sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: saikumbh | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.69 | Public IP: 103.96.18.17 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:22 IST Mon Jun 8 2020 | Duration: 9h:22m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 200460345 | Bytes Rx: 234796588 | IP Addr: 10.149.232.69 | Public IP: 103.96.18.17 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:22 IST Mon Jun 8 2020 | Duration: 9h:22m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 200460345 | Bytes Rx: 234796588 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138501 | Audit Session ID: 0a95072a21d050005edd887e | Security Group Tag: none | EasyVPN: 0 |Session ID: 138501 | Audit Session ID: 0a95072a21d050005edd887e | Security Group Tag: none | EasyVPN: 0 ||
Username: TeMamidi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.198 | Public IP: 49.204.188.175 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:15:29 IST Mon Jun 8 2020 | Duration: 9h:15m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 288019402 | Bytes Rx: 172298897 | IP Addr: 10.149.233.198 | Public IP: 49.204.188.175 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:15:29 IST Mon Jun 8 2020 | Duration: 9h:15m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 288019402 | Bytes Rx: 172298897 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138503 | Audit Session ID: 0a95072a21d070005edd8a29 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138503 | Audit Session ID: 0a95072a21d070005edd8a29 | Security Group Tag: none | EasyVPN: 0 ||
Username: shivakrs | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.200 | Public IP: 103.41.90.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:22:58 IST Mon Jun 8 2020 | Duration: 9h:08m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 1387634302 | Bytes Rx: 140575957 | IP Addr: 10.149.233.200 | Public IP: 103.41.90.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:22:58 IST Mon Jun 8 2020 | Duration: 9h:08m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 1387634302 | Bytes Rx: 140575957 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138505 | Audit Session ID: 0a95072a21d090005edd8bea | Security Group Tag: none | EasyVPN: 0 |Session ID: 138505 | Audit Session ID: 0a95072a21d090005edd8bea | Security Group Tag: none | EasyVPN: 0 ||
Username: akshgopi | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC4 | IP Addr: 10.149.248.100 | Public IP: 157.46.57.122 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:24 IST Mon Jun 8 2020 | Duration: 8h:27m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 733117498 | Bytes Rx: 613138142 | IP Addr: 10.149.248.100 | Public IP: 157.46.57.122 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:24 IST Mon Jun 8 2020 | Duration: 8h:27m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 733117498 | Bytes Rx: 613138142 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138512 | Audit Session ID: 0a95072a21d100005edd9564 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138512 | Audit Session ID: 0a95072a21d100005edd9564 | Security Group Tag: none | EasyVPN: 0 ||
Username: Usabalka | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.200 | Public IP: 157.47.43.119 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:07:36 IST Mon Jun 8 2020 | Duration: 8h:23m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 1071632992 | Bytes Rx: 1125169725 | IP Addr: 10.149.232.200 | Public IP: 157.47.43.119 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:07:36 IST Mon Jun 8 2020 | Duration: 8h:23m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 1071632992 | Bytes Rx: 1125169725 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138518 | Audit Session ID: 0a95072a21d160005edd9660 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138518 | Audit Session ID: 0a95072a21d160005edd9660 | Security Group Tag: none | EasyVPN: 0 ||
Username: asoundar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.204 | Public IP: 223.182.213.223 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:28:10 IST Mon Jun 8 2020 | Duration: 8h:03m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 441224339 | Bytes Rx: 458739484 | IP Addr: 10.149.233.204 | Public IP: 223.182.213.223 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:28:10 IST Mon Jun 8 2020 | Duration: 8h:03m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 441224339 | Bytes Rx: 458739484 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138528 | Audit Session ID: 0a95072a21d200005edd9b32 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138528 | Audit Session ID: 0a95072a21d200005edd9b32 | Security Group Tag: none | EasyVPN: 0 ||
Username: rajasekaran.m | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.73 | Public IP: 171.76.59.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:47:02 IST Mon Jun 8 2020 | Duration: 7h:44m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 206655856 | Bytes Rx: 140542792 | IP Addr: 10.149.232.73 | Public IP: 171.76.59.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:47:02 IST Mon Jun 8 2020 | Duration: 7h:44m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 206655856 | Bytes Rx: 140542792 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138538 | Audit Session ID: 0a95072a21d2a0005edd9f9e | Security Group Tag: none | EasyVPN: 0 |Session ID: 138538 | Audit Session ID: 0a95072a21d2a0005edd9f9e | Security Group Tag: none | EasyVPN: 0 ||
Username: absingh | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.56 | Public IP: 103.86.181.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:52:23 IST Mon Jun 8 2020 | Duration: 7h:38m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 639050671 | Bytes Rx: 477403713 | IP Addr: 10.149.232.56 | Public IP: 103.86.181.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:52:23 IST Mon Jun 8 2020 | Duration: 7h:38m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 639050671 | Bytes Rx: 477403713 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138540 | Audit Session ID: 0a95072a21d2c0005edda0df | Security Group Tag: none | EasyVPN: 0 |Session ID: 138540 | Audit Session ID: 0a95072a21d2c0005edda0df | Security Group Tag: none | EasyVPN: 0 ||
Username: VKedaris | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.60 | Public IP: 223.238.42.230 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:40 IST Mon Jun 8 2020 | Duration: 7h:37m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 314084249 | Bytes Rx: 63342407 | IP Addr: 10.149.232.60 | Public IP: 223.238.42.230 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:40 IST Mon Jun 8 2020 | Duration: 7h:37m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 314084249 | Bytes Rx: 63342407 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138544 | Audit Session ID: 0a95072a21d300005edda12c | Security Group Tag: none | EasyVPN: 0 |Session ID: 138544 | Audit Session ID: 0a95072a21d300005edda12c | Security Group Tag: none | EasyVPN: 0 ||
Username: venkatre | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.50 | Public IP: 27.59.197.144 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:03:09 IST Mon Jun 8 2020 | Duration: 7h:28m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 309639836 | Bytes Rx: 382469996 | IP Addr: 10.149.232.50 | Public IP: 27.59.197.144 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:03:09 IST Mon Jun 8 2020 | Duration: 7h:28m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 309639836 | Bytes Rx: 382469996 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138552 | Audit Session ID: 0a95072a21d380005edda365 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138552 | Audit Session ID: 0a95072a21d380005edda365 | Security Group Tag: none | EasyVPN: 0 ||
Username: pvictor | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.210 | Public IP: 157.51.80.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:12:29 IST Mon Jun 8 2020 | Duration: 7h:18m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 173445788 | Bytes Rx: 100864094 | IP Addr: 10.149.233.210 | Public IP: 157.51.80.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:12:29 IST Mon Jun 8 2020 | Duration: 7h:18m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 173445788 | Bytes Rx: 100864094 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138564 | Audit Session ID: 0a95072a21d440005edda595 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138564 | Audit Session ID: 0a95072a21d440005edda595 | Security Group Tag: none | EasyVPN: 0 ||
